序号,市级指导部门,实施清单名称,,实施编码,事项类型,备注
226,东莞市水务局,对注册执业人员未执行法律、法规和工程建设强制性标准行为的处罚,"《建设工程安全生产管理条例》第十三条 设计单位应当按照法律、法规和工程建设强制性标准进行设计，防止因设计不合理导致生产安全事故的发生。
设计单位应当考虑施工安全操作和防护的需要，对涉及施工安全的重点部位和环节在设计文件中注明，并对防范生产安全事故提出指导意见。
采用新结构、新材料、新工艺的建设工程和特殊结构的建设工程，设计单位应当在设计中提出保障施工作业人员安全和预防生产安全事故的措施建议。
设计单位和注册建筑师等注册执业人员应当对其设计负责。
《建设工程安全生产管理条例》第五十八条 注册执业人员未执行法律、法规和工程建设强制性标准的，责令停止执业3个月以上1年以下；情节严重的，吊销执业资格证书，5年内不予注册；造成重大安全事故的，终身不予注册；构成犯罪的，依照刑法有关规定追究刑事责任。",11441900007330248L3440216204000,行政处罚,
227,东莞市水务局,对为建设工程提供机械设备和配件的单位，未按照安全施工的要求配备齐全有效的保险、限位等安全设施和装置行为的处罚,"《建设工程安全生产管理条例》第十五条 为建设工程提供机械设备和配件的单位，应当按照安全施工的要求配备齐全有效的保险、限位等安全设施和装置。
《建设工程安全生产管理条例》第五十九条 违反本条例的规定，为建设工程提供机械设备和配件的单位，未按照安全施工的要求配备齐全有效的保险、限位等安全设施和装置的，责令限期改正，处合同价款1倍以上3倍以下的罚款；造成损失的，依法承担赔偿责任。",11441900007330248L3440216205000,行政处罚,
228,东莞市水务局,对出租单位出租未经安全性能检测或者经检测不合格的机械设备和施工机具及配件行为的处罚,"《建设工程安全生产管理条例》第十六条 出租的机械设备和施工机具及配件，应当具有生产（制造）许可证、产品合格证。
出租单位应当对出租的机械设备和施工机具及配件的安全性能进行检测，在签订租赁协议时，应当出具检测合格证明。
禁止出租检测不合格的机械设备和施工机具及配件。
《建设工程安全生产管理条例》第六十条 违反本条例的规定，出租单位出租未经安全性能检测或者经检测不合格的机械设备和施工机具及配件的，责令停业整顿，并处5万元以上10万元以下的罚款；造成损失的，依法承担赔偿责任。",11441900007330248L3440216206000,行政处罚,
229,东莞市水务局,对施工起重机械和整体提升脚手架、模板等自升式架设设施安装、拆卸单位未编制拆装方案、制定安全施工措施行为的处罚,"《建设工程安全生产管理条例》第十七条 在施工现场安装、拆卸施工起重机械和整体提升脚手架、模板等自升式架设设施，必须由具有相应资质的单位承担。
安装、拆卸施工起重机械和整体提升脚手架、模板等自升式架设设施，应当编制拆装方案、制定安全施工措施，并由专业技术人员现场监督。
施工起重机械和整体提升脚手架、模板等自升式架设设施安装完毕后，安装单位应当自检，出具自检合格证明，并向施工单位进行安全使用说明，办理验收手续并签字。
《建设工程安全生产管理条例》第六十一条 违反本条例的规定，施工起重机械和整体提升脚手架、模板等自升式架设设施安装、拆卸单位有下列行为之一的，责令限期改正，处5万元以上10万元以下的罚款；情节严重的，责令停业整顿，降低资质等级，直至吊销资质证书；造成损失的，依法承担赔偿责任：
（一）未编制拆装方案、制定安全施工措施的；
（二）未由专业技术人员现场监督的；
（三）未出具自检合格证明或者出具虚假证明的；
（四）未向施工单位进行安全使用说明，办理移交手续的。
施工起重机械和整体提升脚手架、模板等自升式架设设施安装、拆卸单位有前款规定的第（一）项、第（三）项行为，经有关部门或者单位职工提出后，对事故隐患仍不采取措施，因而发生重大伤亡事故或者造成其他严重后果，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任。",11441900007330248L3440216207000,行政处罚,
230,东莞市水务局,对未由专业技术人员现场监督行为的处罚,"《建设工程安全生产管理条例》第十七条 在施工现场安装、拆卸施工起重机械和整体提升脚手架、模板等自升式架设设施，必须由具有相应资质的单位承担。
安装、拆卸施工起重机械和整体提升脚手架、模板等自升式架设设施，应当编制拆装方案、制定安全施工措施，并由专业技术人员现场监督。
施工起重机械和整体提升脚手架、模板等自升式架设设施安装完毕后，安装单位应当自检，出具自检合格证明，并向施工单位进行安全使用说明，办理验收手续并签字。
《建设工程安全生产管理条例》第六十一条 违反本条例的规定，施工起重机械和整体提升脚手架、模板等自升式架设设施安装、拆卸单位有下列行为之一的，责令限期改正，处5万元以上10万元以下的罚款；情节严重的，责令停业整顿，降低资质等级，直至吊销资质证书；造成损失的，依法承担赔偿责任：
（一）未编制拆装方案、制定安全施工措施的；
（二）未由专业技术人员现场监督的；
（三）未出具自检合格证明或者出具虚假证明的；
（四）未向施工单位进行安全使用说明，办理移交手续的。
施工起重机械和整体提升脚手架、模板等自升式架设设施安装、拆卸单位有前款规定的第（一）项、第（三）项行为，经有关部门或者单位职工提出后，对事故隐患仍不采取措施，因而发生重大伤亡事故或者造成其他严重后果，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任。",11441900007330248L3440216208000,行政处罚,
231,东莞市水务局,对未出具自检合格证明或者出具虚假证明行为的处罚,"《建设工程安全生产管理条例》第十七条 在施工现场安装、拆卸施工起重机械和整体提升脚手架、模板等自升式架设设施，必须由具有相应资质的单位承担。
安装、拆卸施工起重机械和整体提升脚手架、模板等自升式架设设施，应当编制拆装方案、制定安全施工措施，并由专业技术人员现场监督。
施工起重机械和整体提升脚手架、模板等自升式架设设施安装完毕后，安装单位应当自检，出具自检合格证明，并向施工单位进行安全使用说明，办理验收手续并签字。
《建设工程安全生产管理条例》第六十一条 违反本条例的规定，施工起重机械和整体提升脚手架、模板等自升式架设设施安装、拆卸单位有下列行为之一的，责令限期改正，处5万元以上10万元以下的罚款；情节严重的，责令停业整顿，降低资质等级，直至吊销资质证书；造成损失的，依法承担赔偿责任：
（一）未编制拆装方案、制定安全施工措施的；
（二）未由专业技术人员现场监督的；
（三）未出具自检合格证明或者出具虚假证明的；
（四）未向施工单位进行安全使用说明，办理移交手续的。
施工起重机械和整体提升脚手架、模板等自升式架设设施安装、拆卸单位有前款规定的第（一）项、第（三）项行为，经有关部门或者单位职工提出后，对事故隐患仍不采取措施，因而发生重大伤亡事故或者造成其他严重后果，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任。",11441900007330248L3440216209000,行政处罚,
232,东莞市水务局,对未向施工单位进行安全使用说明，办理移交手续行为的处罚,"《建设工程安全生产管理条例》第十七条 在施工现场安装、拆卸施工起重机械和整体提升脚手架、模板等自升式架设设施，必须由具有相应资质的单位承担。
安装、拆卸施工起重机械和整体提升脚手架、模板等自升式架设设施，应当编制拆装方案、制定安全施工措施，并由专业技术人员现场监督。
施工起重机械和整体提升脚手架、模板等自升式架设设施安装完毕后，安装单位应当自检，出具自检合格证明，并向施工单位进行安全使用说明，办理验收手续并签字。
《建设工程安全生产管理条例》第六十一条 违反本条例的规定，施工起重机械和整体提升脚手架、模板等自升式架设设施安装、拆卸单位有下列行为之一的，责令限期改正，处5万元以上10万元以下的罚款；情节严重的，责令停业整顿，降低资质等级，直至吊销资质证书；造成损失的，依法承担赔偿责任：
（一）未编制拆装方案、制定安全施工措施的；
（二）未由专业技术人员现场监督的；
（三）未出具自检合格证明或者出具虚假证明的；
（四）未向施工单位进行安全使用说明，办理移交手续的。
施工起重机械和整体提升脚手架、模板等自升式架设设施安装、拆卸单位有前款规定的第（一）项、第（三）项行为，经有关部门或者单位职工提出后，对事故隐患仍不采取措施，因而发生重大伤亡事故或者造成其他严重后果，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任。",11441900007330248L3440216210000,行政处罚,
233,东莞市水务局,对工程监理单位转让工程监理业务行为的处罚,"《建设工程质量管理条例》第三十四条 工程监理单位应当依法取得相应等级的资质证书，并在其资质等级许可的范围内承担工程监理业务。
禁止工程监理单位超越本单位资质等级许可的范围或者以其他工程监理单位的名义承担工程监理业务。禁止工程监理单位允许其他单位或者个人以本单位的名义承担工程监理业务。
工程监理单位不得转让工程监理业务。
《建设工程质量管理条例》第六十二条 违反本条例规定，承包单位将承包的工程转包或者违法分包的，责令改正，没收违法所得，对勘察、设计单位处合同约定的勘察费、设计费百分之二十五以上百分之五十以下的罚款；对施工单位处工程合同价款百分之零点五以上百分之一以下的罚款；可以责令停业整顿，降低资质等级；情节严重的，吊销资质证书。
工程监理单位转让工程监理业务的，责令改正，没收违法所得，处合同约定的监理酬金百分之二十五以上百分之五十以下的罚款；可以责令停业整顿，降低资质等级；情节严重的，吊销资质证书。",11441900007330248L3440216211000,行政处罚,
234,东莞市水务局,对施工单位未设立安全生产管理机构、配备专职安全生产管理人员或者分部分项工程施工时无专职安全生产管理人员现场监督行为的处罚,"《建设工程安全生产管理条例》第二十三条 施工单位应当设立安全生产管理机构，配备专职安全生产管理人员。
专职安全生产管理人员负责对安全生产进行现场监督检查。发现安全事故隐患，应当及时向项目负责人和安全生产管理机构报告；对违章指挥、违章操作的，应当立即制止。
专职安全生产管理人员的配备办法由国务院建设行政主管部门会同国务院其他有关部门制定。
《建设工程安全生产管理条例》第六十二条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，依照《中华人民共和国安全生产法》的有关规定处以罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任：
（一）未设立安全生产管理机构、配备专职安全生产管理人员或者分部分项工程施工时无专职安全生产管理人员现场监督的；
（二）施工单位的主要负责人、项目负责人、专职安全生产管理人员、作业人员或者特种作业人员，未经安全教育培训或者经考核不合格即从事相关工作的；
（三）未在施工现场的危险部位设置明显的安全警示标志，或者未按照国家有关规定在施工现场设置消防通道、消防水源、配备消防设施和灭火器材的；
（四）未向作业人员提供安全防护用具和安全防护服装的；
（五）未按照规定在施工起重机械和整体提升脚手架、模板等自升式架设设施验收合格后登记的；
（六）使用国家明令淘汰、禁止使用的危及施工安全的工艺、设备、材料的。",11441900007330248L3440216212000,行政处罚,
235,东莞市水务局,对施工单位的主要负责人、项目负责人、专职安全生产管理人员、作业人员或者特种作业人员，未经安全教育培训或者经考核不合格即从事相关工作行为的处罚,"《建设工程安全生产管理条例》第六十二条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，依照《中华人民共和国安全生产法》的有关规定处以罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任：
（一）未设立安全生产管理机构、配备专职安全生产管理人员或者分部分项工程施工时无专职安全生产管理人员现场监督的；
（二）施工单位的主要负责人、项目负责人、专职安全生产管理人员、作业人员或者特种作业人员，未经安全教育培训或者经考核不合格即从事相关工作的；
（三）未在施工现场的危险部位设置明显的安全警示标志，或者未按照国家有关规定在施工现场设置消防通道、消防水源、配备消防设施和灭火器材的；
（四）未向作业人员提供安全防护用具和安全防护服装的；
（五）未按照规定在施工起重机械和整体提升脚手架、模板等自升式架设设施验收合格后登记的；
（六）使用国家明令淘汰、禁止使用的危及施工安全的工艺、设备、材料的。",11441900007330248L3440216213000,行政处罚,
236,东莞市水务局,对施工单位未在施工现场的危险部位设置明显的安全警示标志，或者未按照国家有关规定在施工现场设置消防通道、消防水源、配备消防设施和灭火器材行为的处罚,"《建设工程安全生产管理条例》第二十八条 施工单位应当在施工现场入口处、施工起重机械、临时用电设施、脚手架、出入通道口、楼梯口、电梯井口、孔洞口、桥梁口、隧道口、基坑边沿、爆破物及有害危险气体和液体存放处等危险部位，设置明显的安全警示标志。安全警示标志必须符合国家标准。
施工单位应当根据不同施工阶段和周围环境及季节、气候的变化，在施工现场采取相应的安全施工措施。施工现场暂时停止施工的，施工单位应当做好现场防护，所需费用由责任方承担，或者按照合同约定执行。
《建设工程安全生产管理条例》第三十一条 施工单位应当在施工现场建立消防安全责任制度，确定消防安全责任人，制定用火、用电、使用易燃易爆材料等各项消防安全管理制度和操作规程，设置消防通道、消防水源，配备消防设施和灭火器材，并在施工现场入口处设置明显标志。
《建设工程安全生产管理条例》第六十二条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，依照《中华人民共和国安全生产法》的有关规定处以罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任：
（一）未设立安全生产管理机构、配备专职安全生产管理人员或者分部分项工程施工时无专职安全生产管理人员现场监督的；
（二）施工单位的主要负责人、项目负责人、专职安全生产管理人员、作业人员或者特种作业人员，未经安全教育培训或者经考核不合格即从事相关工作的；
（三）未在施工现场的危险部位设置明显的安全警示标志，或者未按照国家有关规定在施工现场设置消防通道、消防水源、配备消防设施和灭火器材的；
（四）未向作业人员提供安全防护用具和安全防护服装的；
（五）未按照规定在施工起重机械和整体提升脚手架、模板等自升式架设设施验收合格后登记的；
（六）使用国家明令淘汰、禁止使用的危及施工安全的工艺、设备、材料的。",11441900007330248L3440216214000,行政处罚,
237,东莞市水务局,对施工单位未向作业人员提供安全防护用具和安全防护服装行为的处罚,"《建设工程安全生产管理条例》第三十二条 施工单位应当向作业人员提供安全防护用具和安全防护服装，并书面告知危险岗位的操作规程和违章操作的危害。
作业人员有权对施工现场的作业条件、作业程序和作业方式中存在的安全问题提出批评、检举和控告，有权拒绝违章指挥和强令冒险作业。
在施工中发生危及人身安全的紧急情况时，作业人员有权立即停止作业或者在采取必要的应急措施后撤离危险区域。
《建设工程安全生产管理条例》第六十二条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，依照《中华人民共和国安全生产法》的有关规定处以罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任：
（一）未设立安全生产管理机构、配备专职安全生产管理人员或者分部分项工程施工时无专职安全生产管理人员现场监督的；
（二）施工单位的主要负责人、项目负责人、专职安全生产管理人员、作业人员或者特种作业人员，未经安全教育培训或者经考核不合格即从事相关工作的；
（三）未在施工现场的危险部位设置明显的安全警示标志，或者未按照国家有关规定在施工现场设置消防通道、消防水源、配备消防设施和灭火器材的；
（四）未向作业人员提供安全防护用具和安全防护服装的；
（五）未按照规定在施工起重机械和整体提升脚手架、模板等自升式架设设施验收合格后登记的；
（六）使用国家明令淘汰、禁止使用的危及施工安全的工艺、设备、材料的。",11441900007330248L3440216215000,行政处罚,
238,东莞市水务局,对施工单位未按照规定在施工起重机械和整体提升脚手架、模板等自升式架设设施验收合格后登记行为的处罚,"《建设工程安全生产管理条例》第三十五条 施工单位在使用施工起重机械和整体提升脚手架、模板等自升式架设设施前，应当组织有关单位进行验收，也可以委托具有相应资质的检验检测机构进行验收；使用承租的机械设备和施工机具及配件的，由施工总承包单位、分包单位、出租单位和安装单位共同进行验收。验收合格的方可使用。
《特种设备安全监察条例》规定的施工起重机械，在验收前应当经有相应资质的检验检测机构监督检验合格。
施工单位应当自施工起重机械和整体提升脚手架、模板等自升式架设设施验收合格之日起30日内，向建设行政主管部门或者其他有关部门登记。登记标志应当置于或者附着于该设备的显著位置。
《建设工程安全生产管理条例》第六十二条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，依照《中华人民共和国安全生产法》的有关规定处以罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任：
（一）未设立安全生产管理机构、配备专职安全生产管理人员或者分部分项工程施工时无专职安全生产管理人员现场监督的；
（二）施工单位的主要负责人、项目负责人、专职安全生产管理人员、作业人员或者特种作业人员，未经安全教育培训或者经考核不合格即从事相关工作的；
（三）未在施工现场的危险部位设置明显的安全警示标志，或者未按照国家有关规定在施工现场设置消防通道、消防水源、配备消防设施和灭火器材的；
（四）未向作业人员提供安全防护用具和安全防护服装的；
（五）未按照规定在施工起重机械和整体提升脚手架、模板等自升式架设设施验收合格后登记的；
（六）使用国家明令淘汰、禁止使用的危及施工安全的工艺、设备、材料的。",11441900007330248L3440216216000,行政处罚,
239,东莞市水务局,对施工单位使用国家明令淘汰、禁止使用的危及施工安全的工艺、设备、材料单位行为的处罚,"《建设工程安全生产管理条例》第六十二条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，依照《中华人民共和国安全生产法》的有关规定处以罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任：
（一）未设立安全生产管理机构、配备专职安全生产管理人员或者分部分项工程施工时无专职安全生产管理人员现场监督的；
（二）施工单位的主要负责人、项目负责人、专职安全生产管理人员、作业人员或者特种作业人员，未经安全教育培训或者经考核不合格即从事相关工作的；
（三）未在施工现场的危险部位设置明显的安全警示标志，或者未按照国家有关规定在施工现场设置消防通道、消防水源、配备消防设施和灭火器材的；
（四）未向作业人员提供安全防护用具和安全防护服装的；
（五）未按照规定在施工起重机械和整体提升脚手架、模板等自升式架设设施验收合格后登记的；
（六）使用国家明令淘汰、禁止使用的危及施工安全的工艺、设备、材料的。",11441900007330248L3440216217000,行政处罚,
240,东莞市水务局,对施工单位的主要负责人、项目负责人未履行安全生产管理职责行为的处罚,"《建设工程安全生产管理条例》第六十六条 违反本条例的规定，施工单位的主要负责人、项目负责人未履行安全生产管理职责的，责令限期改正；逾期未改正的，责令施工单位停业整顿；造成重大安全事故、重大伤亡事故或者其他严重后果，构成犯罪的，依照刑法有关规定追究刑事责任。
作业人员不服管理、违反规章制度和操作规程冒险作业造成重大伤亡事故或者其他严重后果，构成犯罪的，依照刑法有关规定追究刑事责任。
施工单位的主要负责人、项目负责人有前款违法行为，尚不够刑事处罚的，处2万元以上20万元以下的罚款或者按照管理权限给予撤职处分；自刑罚执行完毕或者受处分之日起，5年内不得担任任何施工单位的主要负责人、项目负责人。",11441900007330248L3440216218000,行政处罚,
241,东莞市水务局,对施工单位挪用列入建设工程概算的安全生产作业环境及安全施工措施所需费用行为的处罚,"《建设工程安全生产管理条例》第二十二条 施工单位对列入建设工程概算的安全作业环境及安全施工措施所需费用，应当用于施工安全防护用具及设施的采购和更新、安全施工措施的落实、安全生产条件的改善，不得挪作他用。
《建设工程安全生产管理条例》第六十三条 违反本条例的规定，施工单位挪用列入建设工程概算的安全生产作业环境及安全施工措施所需费用的，责令限期改正，处挪用费用20％以上50％以下的罚款；造成损失的，依法承担赔偿责任。",11441900007330248L3440216219000,行政处罚,
242,东莞市水务局,对施工单位施工前未对有关安全施工的技术要求作出详细说明行为的处罚,"《建设工程安全生产管理条例》第二十七条 建设工程施工前，施工单位负责项目管理的技术人员应当对有关安全施工的技术要求向施工作业班组、作业人员作出详细说明，并由双方签字确认。
《建设工程安全生产管理条例》第六十四条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，并处5万元以上10万元以下的罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任：
（一）施工前未对有关安全施工的技术要求作出详细说明的；
（二）未根据不同施工阶段和周围环境及季节、气候的变化，在施工现场采取相应的安全施工措施，或者在城市市区内的建设工程的施工现场未实行封闭围挡的；
（三）在尚未竣工的建筑物内设置员工集体宿舍的；
（四）施工现场临时搭建的建筑物不符合安全使用要求的；
（五）未对因建设工程施工可能造成损害的毗邻建筑物、构筑物和地下管线等采取专项防护措施的。
施工单位有前款规定第（四）项、第（五）项行为，造成损失的，依法承担赔偿责任。",11441900007330248L3440216220000,行政处罚,
243,东莞市水务局,对施工单位未根据不同施工阶段和周围环境及季节、气候的变化，在施工现场采取相应的安全施工措施，或者在城市市区内的建设工程的施工现场未实行封闭围挡行为的处罚,"《建设工程安全生产管理条例》第二十八条 施工单位应当在施工现场入口处、施工起重机械、临时用电设施、脚手架、出入通道口、楼梯口、电梯井口、孔洞口、桥梁口、隧道口、基坑边沿、爆破物及有害危险气体和液体存放处等危险部位，设置明显的安全警示标志。安全警示标志必须符合国家标准。
施工单位应当根据不同施工阶段和周围环境及季节、气候的变化，在施工现场采取相应的安全施工措施。施工现场暂时停止施工的，施工单位应当做好现场防护，所需费用由责任方承担，或者按照合同约定执行。
《建设工程安全生产管理条例》第六十四条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，并处5万元以上10万元以下的罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任：
（一）施工前未对有关安全施工的技术要求作出详细说明的；
（二）未根据不同施工阶段和周围环境及季节、气候的变化，在施工现场采取相应的安全施工措施，或者在城市市区内的建设工程的施工现场未实行封闭围挡的；
（三）在尚未竣工的建筑物内设置员工集体宿舍的；
（四）施工现场临时搭建的建筑物不符合安全使用要求的；
（五）未对因建设工程施工可能造成损害的毗邻建筑物、构筑物和地下管线等采取专项防护措施的。
施工单位有前款规定第（四）项、第（五）项行为，造成损失的，依法承担赔偿责任。",11441900007330248L3440216221000,行政处罚,
244,东莞市水务局,对施工单位在尚未竣工的建筑物内设置员工集体宿舍行为的处罚,"《建设工程安全生产管理条例》第二十九条 施工单位应当将施工现场的办公、生活区与作业区分开设置，并保持安全距离；办公、生活区的选址应当符合安全性要求。职工的膳食、饮水、休息场所等应当符合卫生标准。施工单位不得在尚未竣工的建筑物内设置员工集体宿舍。
施工现场临时搭建的建筑物应当符合安全使用要求。施工现场使用的装配式活动房屋应当具有产品合格证。
《建设工程安全生产管理条例》第六十四条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，并处5万元以上10万元以下的罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任：
（一）施工前未对有关安全施工的技术要求作出详细说明的；
（二）未根据不同施工阶段和周围环境及季节、气候的变化，在施工现场采取相应的安全施工措施，或者在城市市区内的建设工程的施工现场未实行封闭围挡的；
（三）在尚未竣工的建筑物内设置员工集体宿舍的；
（四）施工现场临时搭建的建筑物不符合安全使用要求的；
（五）未对因建设工程施工可能造成损害的毗邻建筑物、构筑物和地下管线等采取专项防护措施的。
施工单位有前款规定第（四）项、第（五）项行为，造成损失的，依法承担赔偿责任。",11441900007330248L3440216222000,行政处罚,
245,东莞市水务局,对现场临时搭建的建筑物不符合安全使用要求行为的处罚,"《建设工程安全生产管理条例》第二十九条 施工单位应当将施工现场的办公、生活区与作业区分开设置，并保持安全距离；办公、生活区的选址应当符合安全性要求。职工的膳食、饮水、休息场所等应当符合卫生标准。施工单位不得在尚未竣工的建筑物内设置员工集体宿舍。
施工现场临时搭建的建筑物应当符合安全使用要求。施工现场使用的装配式活动房屋应当具有产品合格证。
《建设工程安全生产管理条例》第六十四条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，并处5万元以上10万元以下的罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任：
（一）施工前未对有关安全施工的技术要求作出详细说明的；
（二）未根据不同施工阶段和周围环境及季节、气候的变化，在施工现场采取相应的安全施工措施，或者在城市市区内的建设工程的施工现场未实行封闭围挡的；
（三）在尚未竣工的建筑物内设置员工集体宿舍的；
（四）施工现场临时搭建的建筑物不符合安全使用要求的；
（五）未对因建设工程施工可能造成损害的毗邻建筑物、构筑物和地下管线等采取专项防护措施的。
施工单位有前款规定第（四）项、第（五）项行为，造成损失的，依法承担赔偿责任。",11441900007330248L3440216223000,行政处罚,
246,东莞市水务局,对施工单位未对因建设工程施工可能造成损害的毗邻建筑物、构筑物和地下管线等采取专项防护措施行为的处罚,"《建设工程安全生产管理条例》第三十条 施工单位对因建设工程施工可能造成损害的毗邻建筑物、构筑物和地下管线等，应当采取专项防护措施。
施工单位应当遵守有关环境保护法律、法规的规定，在施工现场采取措施，防止或者减少粉尘、废气、废水、固体废物、噪声、振动和施工照明对人和环境的危害和污染。
在城市市区内的建设工程，施工单位应当对施工现场实行封闭围挡。
《建设工程安全生产管理条例》第六十四条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，并处5万元以上10万元以下的罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任：
（一）施工前未对有关安全施工的技术要求作出详细说明的；
（二）未根据不同施工阶段和周围环境及季节、气候的变化，在施工现场采取相应的安全施工措施，或者在城市市区内的建设工程的施工现场未实行封闭围挡的；
（三）在尚未竣工的建筑物内设置员工集体宿舍的；
（四）施工现场临时搭建的建筑物不符合安全使用要求的；
（五）未对因建设工程施工可能造成损害的毗邻建筑物、构筑物和地下管线等采取专项防护措施的。
施工单位有前款规定第（四）项、第（五）项行为，造成损失的，依法承担赔偿责任。",11441900007330248L3440216224000,行政处罚,
247,东莞市水务局,对施工单位安全防护用具、机械设备、施工机具及配件在进入施工现场前未经查验或者查验不合格即投入使用行为的处罚,"《建设工程安全生产管理条例》第三十四条 施工单位采购、租赁的安全防护用具、机械设备、施工机具及配件，应当具有生产（制造）许可证、产品合格证，并在进入施工现场前进行查验。
施工现场的安全防护用具、机械设备、施工机具及配件必须由专人管理，定期进行检查、维修和保养，建立相应的资料档案，并按照国家有关规定及时报废。
《建设工程安全生产管理条例》第六十五条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，并处10万元以上30万元以下的罚款；情节严重的，降低资质等级，直至吊销资质证书；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任；造成损失的，依法承担赔偿责任：
（一）安全防护用具、机械设备、施工机具及配件在进入施工现场前未经查验或者查验不合格即投入使用的；
（二）使用未经验收或者验收不合格的施工起重机械和整体提升脚手架、模板等自升式架设设施的；
（三）委托不具有相应资质的单位承担施工现场安装、拆卸施工起重机械和整体提升脚手架、模板等自升式架设设施的；
（四）在施工组织设计中未编制安全技术措施、施工现场临时用电方案或者专项施工方案的。",11441900007330248L3440216225000,行政处罚,
248,东莞市水务局,对施工单位使用未经验收或者验收不合格的施工起重机械和整体提升脚手架、模板等自升式架设设施行为的处罚,"《建设工程安全生产管理条例》第三十五条 施工单位在使用施工起重机械和整体提升脚手架、模板等自升式架设设施前，应当组织有关单位进行验收，也可以委托具有相应资质的检验检测机构进行验收；使用承租的机械设备和施工机具及配件的，由施工总承包单位、分包单位、出租单位和安装单位共同进行验收。验收合格的方可使用。
《特种设备安全监察条例》规定的施工起重机械，在验收前应当经有相应资质的检验检测机构监督检验合格。
施工单位应当自施工起重机械和整体提升脚手架、模板等自升式架设设施验收合格之日起30日内，向建设行政主管部门或者其他有关部门登记。登记标志应当置于或者附着于该设备的显著位置。
《建设工程安全生产管理条例》第六十五条 违反本条例的规定，施工单位有下列行为之一的，责令限期改正；逾期未改正的，责令停业整顿，并处10万元以上30万元以下的罚款；情节严重的，降低资质等级，直至吊销资质证书；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任；造成损失的，依法承担赔偿责任：
（一）安全防护用具、机械设备、施工机具及配件在进入施工现场前未经查验或者查验不合格即投入使用的；
（二）使用未经验收或者验收不合格的施工起重机械和整体提升脚手架、模板等自升式架设设施的；
（三）委托不具有相应资质的单位承担施工现场安装、拆卸施工起重机械和整体提升脚手架、模板等自升式架设设施的；
（四）在施工组织设计中未编制安全技术措施、施工现场临时用电方案或者专项施工方案的。",11441900007330248L3440216226000,行政处罚,
